Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,1,k,35,15500,"Na Valentince, Praha 5 - Smíchov",1
pronájem,bytu,3,k,200,35000,"Děvínská, Praha 5 - Smíchov",1
pronájem,bytu,2,k,45,21000,"Grafická, Praha 5 - Smíchov, okres Praha",1
pronájem,bytu,2,k,60,25000,"Vinohradská, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,55,32700,"Varšavská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,35,15600,"Patočkova, Praha 6",1
pronájem,bytu,2,k,59,28000,"Šermířská, Praha 6 - Břevnov",1
pronájem,bytu,3,k,134,44000,"Na Harfě, Praha 9 - Vysočany",1
pronájem,bytu,2,k,50,27675,"Korunní, Praha 10 - Vinohrady",1
pronájem,bytu,3,1,76,20000,"Holečkova, Praha 5 - Smíchov",1
pronájem,bytu,2,k,36,19900,"Košická, Praha 10 - Vršovice",1
pronájem,bytu,3,1,66,20390,"K louži, Praha 10 - Vršovice",1
