Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,2,k,44,25000,Praha 4 - Krč,1
pronájem,bytu,2,k,55,20000,"Rychtáře Petříka, Praha 10 - Hostivař",1
pronájem,bytu,1,k,28,13500,"Sudoměřská, Praha 3 - Žižkov",1
pronájem,bytu,3,k,78,28000,"Hugo Haase, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,49,21500,"Mrázovka, Praha 5 - Smíchov",1
pronájem,bytu,2,k,60,22000,"Honzíkova, Praha 10 - Dolní Měcholupy",1
pronájem,bytu,2,k,57,27000,"Lucemburská, Praha 3 - Vinohrady",1
pronájem,bytu,2,k,64,27000,"Jeseniova, Praha 3 - Žižkov",1
pronájem,bytu,2,k,61,23000,"Rumunská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,38,17500,"Stočesova, Praha 6 - Ruzyně",1
pronájem,bytu,2,1,82,26000,"Kubelíkova, Praha 3 - Žižkov",1
pronájem,bytu,2,k,54,17490,"Škrábkových, Praha 9 - Letňany",1
pronájem,bytu,2,k,45,16900,"Kyselova, Praha 8 - Kobylisy",1
pronájem,bytu,4,1,136,32000,"Volutová, Praha 5 - Stodůlky",1
pronájem,bytu,3,k,98,33000,"U dětského hřiště, Praha 5 - Jinonice, okres Praha",1
pronájem,bytu,2,k,58,27000,"Na Děkance, Praha 2 - Nové Město",1
pronájem,bytu,1,1,38,15000,"Bořivojova, Praha 3 - Žižkov",1
pronájem,bytu,2,1,55,17000,"Hostavická, Praha 9 - Hloubětín",1
pronájem,bytu,3,k,72,36000,"U plynárny, Praha 4 - Michle",1
pronájem,bytu,2,1,80,24500,"Lupáčova, Praha 3 - Žižkov",1
pronájem,bytu,4,k,89,29000,"Vindyšova, Praha 5 - Radotín",1
pronájem,bytu,2,k,55,23000,"Hornokrčská, Praha 4 - Krč",1
pronájem,bytu,2,k,44,15490,"Katovická, Praha 8 - Bohnice",1
pronájem,bytu,2,k,51,25000,"Lucemburská, Praha 3 - Vinohrady",1
pronájem,bytu,3,k,67,25000,"Rybalkova, Praha 2 - Vinohrady",1
pronájem,bytu,4,k,169,45000,"Hasilova, Praha 5 - Stodůlky",1
